deployment_code,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,lim_1,lim_2,lim_3,lim_4,Tlim_1,Tlim_2,Slim_1,Slim_2,pmax,pmax_fluo,is_lon_center_180,Tcontour,Scontour
BM01,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
BM02,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
BM03,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
DL02,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
MY01,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
awru1,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
bs1,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
bs2,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
bv3,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct1,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct10,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct100,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct101,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,12,22,35,36.6,500,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct102,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct103,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct104,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct105,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct106,0.1,0.1,-3,32,4,40,30,-10,10,-60,-30,12,22,35,36.6,400,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct107,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
